place_id_a,place_id_b,name_a,name_b,gap_m,centroid_gap_m
PB_4c684e3e,PB_8b7334eb,서중회관,서중회관앞,2.936,3.582
PB_4f3f1de7,PB_90e33d11,남창역(종점),남창역,7.593,7.593
PB_797f3d2f,PB_a5e7c2e3,화산보건진료소(기점),화산보건진료소,9.07,20.231
PB_f2bf01e8,PB_fe26b367,고리스포츠문화센터(종점),고리스포츠문화센터(기점),10.645,10.645
PB_1673f211,PB_4df68452,애니원 고등학교,애니원고등학교,11.384,11.384
PB_4947bdf6,PB_95b9f7d3,홈플러스 중구점,홈플러스중구점,12.572,67.272
PB_557b2513,PB_ac3eeb78,방어진시외터미널,방어진터미널,13.042,13.042
PB_39019012,PB_c5cb9e07,일산수산물판매센터,일산수산물판매센터입구,13.374,13.374
PB_0bdf5332,PB_0ffbe20a,율리공영차고지종점,율리공영차고지,13.492,13.492
PB_93299de1,PB_fbe3d374,신흥마을입구,동광카,13.982,13.982
PB_50312f65,PB_65b75c3b,롯데인베스,롯데인벤스,14.858,14.858
PB_0f285f4f,PB_1916ecbd,방통대후문,방통대 후문,17.281,17.281
PB_5547e5b2,PB_96345577,방어동 행정복지센터,방어동행정복지센터,18.563,53.14
PB_7a66ca86,PB_f93d66d7,엘크루202동,엘크루 202동,18.984,18.984
PB_6d6d08f1,PB_c47d0e6c,금강펜테리움,한라비발디,19.02,19.02
PB_93276265,PB_9eb32c6e,신정현대홈타운106동,신정현대홈타운단지내,19.221,20.202
PB_a5dd97ae,PB_f39e4d7b,미호,미호입구(하동),19.933,19.933
PB_43a8a7c5,PB_6e57ec1c,성안청구,성안청구아파트,19.958,52.76
PB_5502c7fa,PB_c4483f9d,신평버스터미널,통도사,20.199,23.332
PB_74330a8e,PB_acf262f7,쇠정사거리,울산대학교후문,20.678,57.424
PB_51f506a5,PB_943d09b0,신명휴게소,신명(달맞이휴게소),21.218,21.218
PB_4b7c52b7,PB_b8ecd807,도성아파트,문수로아이파크,21.281,21.281
PB_bacc4d84,PB_cca067e5,현대백화점정문,현대백화점,23.91,23.91
PB_0dd18a50,PB_c8ebe082,유황사우나,호계초등학교입구.유황사우나,24.727,24.727
PB_cf132a41,PB_e2fc0d95,가재골입구,가재골,26.406,26.406
PB_54ac9674,PB_83c9713f,월봉시장,화진중학교,26.412,86.984
PB_003ba6c4,PB_a984fa47,한전앞,한전,27.428,27.428
PB_edeb8014,PB_f4e926ce,화봉쌍용예가,화봉휴먼시아2단지,27.441,27.441
PB_098fec40,PB_6fc10e64,고하,고하입구,28.114,28.114
PB_b2f7f7ed,PB_d1e4cdc8,언양임시시외터미널,언양임시시외터미널앞,28.204,42.473
PB_1f7fdba9,PB_43b93cdf,하늘공원,자연장지,28.887,36.561
